amount, expected earnings, actual earning, tx fee
1, 1799519168478, -87285480831522, 89085000000000
2, 3599038336956, -85485961663044, 89085000000000
3, 5398557505434, -83686442494566, 89085000000000
4, 7198076673912, -81886923326088, 89085000000000
5, 8997595842390, -80063404157610, 89061000000000
6, 10797115010868, -78275884989132, 89073000000000
7, 12596634179346, -76488365820654, 89085000000000
8, 14396153347824, -74676846652176, 89073000000000
9, 16195672516302, -72877327483698, 89073000000000
10, 17995191684780, -71065808315220, 89061000000000
11, 19794710853258, -69290289146742, 89085000000000
12, 21594230021736, -67490769978264, 89085000000000
13, 23393749190214, -65691250809786, 89085000000000
14, 25193268358692, -63891731641308, 89085000000000
15, 26992787527170, -62092212472830, 89085000000000
16, 28792306695648, -60292693304352, 89085000000000
17, 30591825864126, -58481174135874, 89073000000000
18, 32391345032604, -56693654967396, 89085000000000
19, 34190864201082, -54894135798918, 89085000000000
20, 35990383369560, -53082616630440, 89073000000000
21, 37789902538038, -51283097461962, 89073000000000
22, 39589421706516, -49495578293484, 89085000000000
23, 41388940874994, -47684059125006, 89073000000000
24, 43188460043472, -45896539956528, 89085000000000
25, 44987979211950, -44097020788050, 89085000000000
26, 46787498380428, -42297501619572, 89085000000000
27, 48587017548906, -40497982451094, 89085000000000
28, 50386536717384, -38698463282616, 89085000000000
29, 52186055885862, -36898944114138, 89085000000000
30, 53985575054340, -35099424945660, 89085000000000
31, 55785094222818, -33287905777182, 89073000000000
32, 57584613391296, -31500386608704, 89085000000000
33, 59384132559774, -29700867440226, 89085000000000
34, 61183651728252, -27901348271748, 89085000000000
35, 62983170896730, -26101829103270, 89085000000000
36, 64782690065208, -24290309934792, 89073000000000
37, 66582209233686, -22502790766314, 89085000000000
38, 68381728402164, -20691271597836, 89073000000000
39, 70181247570642, -18903752429358, 89085000000000
40, 71980766739120, -17092233260880, 89073000000000
41, 73780285907598, -15292714092402, 89073000000000
42, 75579805076076, -13505194923924, 89085000000000
43, 77379324244554, -11705675755446, 89085000000000
44, 79178843413032, -9906156586968, 89085000000000
45, 80978362581510, -8106637418490, 89085000000000
46, 82777881749988, -6307118250012, 89085000000000
47, 84577400918466, -4495599081534, 89073000000000
48, 86376920086944, -2696079913056, 89073000000000
49, 88176439255422, -908560744578, 89085000000000
50, 89975958423900, 890958423900, 89085000000000
51, 91775477592378, 2690477592378, 89085000000000
52, 93574996760856, 4489996760856, 89085000000000
53, 95374515929334, 6289515929334, 89085000000000
54, 97174035097812, 8089035097812, 89085000000000
55, 98973554266290, 9900554266290, 89073000000000
56, 100773073434768, 11688073434768, 89085000000000
57, 102572592603246, 13499592603246, 89073000000000
58, 104372111771724, 15287111771724, 89085000000000
59, 106171630940202, 17086630940202, 89085000000000
60, 107971150108680, 18886150108680, 89085000000000
61, 109770669277158, 20697669277158, 89073000000000
62, 111570188445636, 22485188445636, 89085000000000
63, 113369707614114, 24284707614114, 89085000000000
64, 115169226782592, 26084226782592, 89085000000000
65, 116968745951070, 27883745951070, 89085000000000
66, 118768265119548, 29707265119548, 89061000000000
67, 120567784288026, 31482784288026, 89085000000000
68, 122367303456504, 33282303456504, 89085000000000
69, 124166822624982, 35081822624982, 89085000000000
70, 125966341793460, 36881341793460, 89085000000000
71, 127765860961938, 38692860961938, 89073000000000
72, 129565380130416, 40492380130416, 89073000000000
73, 131364899298894, 42279899298894, 89085000000000
74, 133164418467372, 44079418467372, 89085000000000
75, 134963937635850, 45902937635850, 89061000000000
76, 136763456804328, 47678456804328, 89085000000000
77, 138562975972806, 49477975972806, 89085000000000
78, 140362495141284, 51277495141284, 89085000000000
79, 142162014309762, 53089014309762, 89073000000000
80, 143961533478240, 54876533478240, 89085000000000
