îÃîÑå¬êî,à¯Ç´èoÇµã‡äz,îÃîÑé“ÇÃécçÇÇÃïœìÆó ,éÊà¯éËêîóø
200,199.99999999999886,-2949.104862400001,3149.1048624
400,399.9999999999977,-2749.5290556800023,3149.52905568
600,599.9999999999966,-2549.5290556800032,3149.52905568
800,799.9999999999955,-2349.5290556800046,3149.52905568
1000,999.9999999999943,-2149.1048624000055,3149.1048624
1200,1199.9999999999932,-1949.5290556800069,3149.52905568
1400,1399.9999999999918,-1749.529055680008,3149.52905568
1600,1599.999999999991,-1549.1048624000089,3149.1048624
1800,1799.9999999999898,-1349.5290556800103,3149.52905568
2000,1999.9999999999886,-1149.5290556800112,3149.52905568
2200,2199.9999999999873,-949.5290556800126,3149.52905568
2400,2399.9999999999864,-749.1048624000136,3149.1048624
2600,2599.9999999999854,-549.5290556800148,3149.52905568
2800,2799.9999999999836,-349.5290556800159,3149.52905568
3000,2999.999999999983,-149.52905568001705,3149.52905568
3200,3199.999999999982,50.47094431998182,3149.52905568
3400,3399.999999999981,250.47094431998067,3149.52905568
3600,3599.9999999999795,450.4709443199796,3149.52905568
3800,3799.9999999999786,650.4709443199783,3149.52905568
4000,3999.9999999999773,850.4709443199773,3149.52905568
4200,4199.999999999976,1050.8951375999761,3149.1048624
4400,4399.9999999999745,1250.895137599975,3149.1048624
4600,4599.9999999999745,1450.470944319974,3149.52905568
4800,4799.999999999973,1650.470944319973,3149.52905568
5000,4999.999999999971,1850.4709443199717,3149.52905568
5200,5199.999999999971,2050.4709443199704,3149.52905568
5400,5399.99999999997,2250.470944319969,3149.52905568
5600,5599.999999999967,2450.895137599968,3149.1048624
5800,5799.999999999967,2650.470944319967,3149.52905568
6000,5999.999999999966,2850.470944319966,3149.52905568
6200,6199.999999999965,3050.470944319965,3149.52905568
6400,6399.999999999964,3250.8951375999636,3149.1048624
6600,6599.999999999963,3450.8951375999623,3149.1048624
6800,6799.999999999962,3650.4709443199613,3149.52905568
7000,6999.999999999961,3850.89513759996,3149.1048624
7200,7199.999999999959,4050.470944319959,3149.52905568
7400,7399.999999999958,4250.470944319958,3149.52905568
7600,7599.999999999957,4450.470944319957,3149.52905568
7800,7799.999999999956,4650.470944319955,3149.52905568
8000,7999.9999999999545,4850.4709443199545,3149.52905568
8200,8199.999999999953,5050.470944319954,3149.52905568
8400,8399.999999999953,5250.470944319953,3149.52905568
8600,8599.99999999995,5450.470944319952,3149.52905568
8800,8799.999999999949,5650.8951375999495,3149.1048624
9000,8999.999999999949,5850.895137599949,3149.1048624
9200,9199.999999999949,6050.470944319948,3149.52905568
9400,9399.999999999945,6250.470944319946,3149.52905568
9600,9599.999999999945,6450.470944319945,3149.52905568
9800,9799.999999999945,6650.4709443199445,3149.52905568
10000,9999.999999999942,6850.470944319944,3149.52905568
