nonce, expected earnings, actual earning, tx fee
1, 1799519168478, -87261480831522, 89061000000000
2, 3599038336956, -70185480831522, 73784519168478
3, 5398557505434, -70173480831522, 75572038336956
4, 7198076673912, -70185480831522, 77383557505434
5, 8997595842390, -70185480831522, 79183076673912
6, 10797115010868, -70185480831522, 80982595842390
7, 12596634179346, -70185480831522, 82782115010868
8, 14396153347824, -70185480831522, 84581634179346
9, 16195672516302, -70185480831522, 86381153347824
10, 17995191684780, -70185480831522, 88180672516302
11, 19794710853258, -70185480831522, 89980191684780
12, 21594230021736, -70173480831522, 91767710853258
13, 23393749190214, -70173480831522, 93567230021736
14, 25193268358692, -70185480831522, 95378749190214
15, 26992787527170, -70185480831522, 97178268358692
16, 28792306695648, -70185480831522, 98977787527170
17, 30591825864126, -70185480831522, 100777306695648
18, 32391345032604, -70161480831522, 102552825864126
19, 34190864201082, -70185480831522, 104376345032604
20, 35990383369560, -70185480831522, 106175864201082
21, 37789902538038, -70173480831522, 107963383369560
22, 39589421706516, -70185480831522, 109774902538038
23, 41388940874994, -70173480831522, 111562421706516
24, 43188460043472, -70185480831522, 113373940874994
25, 44987979211950, -70185480831522, 115173460043472
26, 46787498380428, -70173480831522, 116960979211950
27, 48587017548906, -70185480831522, 118772498380428
28, 50386536717384, -70173480831522, 120560017548906
29, 52186055885862, -70185480831522, 122371536717384
30, 53985575054340, -70185480831522, 124171055885862
31, 55785094222818, -70173480831522, 125958575054340
32, 57584613391296, -70161480831522, 127746094222818
33, 59384132559774, -70185480831522, 129569613391296
34, 61183651728252, -70185480831522, 131369132559774
35, 62983170896730, -70185480831522, 133168651728252
36, 64782690065208, -70185480831522, 134968170896730
37, 66582209233686, -70185480831522, 136767690065208
38, 68381728402164, -70185480831522, 138567209233686
39, 70181247570642, -70185480831522, 140366728402164
40, 71980766739120, -70185480831522, 142166247570642
41, 73780285907598, -70173480831522, 143953766739120
42, 75579805076076, -70185480831522, 145765285907598
43, 77379324244554, -70185480831522, 147564805076076
44, 79178843413032, -70185480831522, 149364324244554
45, 80978362581510, -70185480831522, 151163843413032
46, 82777881749988, -70185480831522, 152963362581510
47, 84577400918466, -70185480831522, 154762881749988
48, 86376920086944, -70185480831522, 156562400918466
49, 88176439255422, -70185480831522, 158361920086944
50, 89975958423900, -70185480831522, 160161439255422
51, 91775477592378, -70185480831522, 161960958423900
52, 93574996760856, -70185480831522, 163760477592378
53, 95374515929334, -70185480831522, 165559996760856
54, 97174035097812, -70185480831522, 167359515929334
55, 98973554266290, -70185480831522, 169159035097812
56, 100773073434768, -70185480831522, 170958554266290
57, 102572592603246, -70185480831522, 172758073434768
58, 104372111771724, -70185480831522, 174557592603246
59, 106171630940202, -70185480831522, 176357111771724
60, 107971150108680, -70185480831522, 178156630940202
61, 109770669277158, -70185480831522, 179956150108680
62, 111570188445636, -70173480831522, 181743669277158
63, 113369707614114, -70185480831522, 183555188445636
64, 115169226782592, -70173480831522, 185342707614114
65, 116968745951070, -70185480831522, 187154226782592
66, 118768265119548, -70173480831522, 188941745951070
67, 120567784288026, -70185480831522, 190753265119548
68, 122367303456504, -70185480831522, 192552784288026
69, 124166822624982, -70185480831522, 194352303456504
70, 125966341793460, -70185480831522, 196151822624982
71, 127765860961938, -70185480831522, 197951341793460
72, 129565380130416, -70185480831522, 199750860961938
73, 131364899298894, -70185480831522, 201550380130416
74, 133164418467372, -70185480831522, 203349899298894
75, 134963937635850, -70173480831522, 205137418467372
76, 136763456804328, -70185480831522, 206948937635850
77, 138562975972806, -70173480831522, 208736456804328
78, 140362495141284, -70185480831522, 210547975972806
79, 142162014309762, -70173480831522, 212335495141284
80, 143961533478240, -70173480831522, 214135014309762
