ナンス,引き出し金額,販売者の残高の変動量,取引手数料
200,0.9999999999996986,-2088.2603468,2089.2603468
400,0.9999999999996986,-2088.6368636,2089.6368635999997
600,0.9999999999996986,-2088.6368636,2089.6368635999997
800,0.9999999999996986,-2088.6368636,2089.6368635999997
1000,0.9999999999996986,-2088.6368636,2089.6368635999997
1200,0.9999999999996986,-2088.6368636,2089.6368635999997
1400,0.9999999999996986,-2088.6368636,2089.6368635999997
1600,0.9999999999996986,-2088.6368636,2089.6368635999997
1800,0.9999999999996986,-2088.6368636,2089.6368635999997
2000,0.9999999999996986,-2088.6368636,2089.6368635999997
2200,0.9999999999996986,-2088.6368636,2089.6368635999997
2400,0.9999999999996986,-2088.6368636,2089.6368635999997
2600,0.9999999999996986,-2088.6368636,2089.6368635999997
2800,0.9999999999996986,-2088.6368636,2089.6368635999997
3000,0.9999999999996986,-2088.6368636,2089.6368635999997
3200,0.9999999999996986,-2088.6368636,2089.6368635999997
3400,0.9999999999996986,-2088.6368636,2089.6368635999997
3600,0.9999999999996986,-2088.2603468,2089.2603468
3800,0.9999999999996986,-2087.88383,2088.88383
4000,0.9999999999996986,-2088.6368636,2089.6368635999997
4200,0.9999999999996986,-2088.6368636,2089.6368635999997
4400,0.9999999999996986,-2088.2603468,2089.2603468
4600,0.9999999999996986,-2088.6368636,2089.6368635999997
4800,0.9999999999996986,-2088.2603468,2089.2603468
5000,0.9999999999996986,-2088.6368636,2089.6368635999997
5200,0.9999999999996986,-2088.6368636,2089.6368635999997
5400,0.9999999999996986,-2088.6368636,2089.6368635999997
5600,0.9999999999996986,-2088.6368636,2089.6368635999997
5800,0.9999999999996986,-2088.6368636,2089.6368635999997
6000,0.9999999999996986,-2088.6368636,2089.6368635999997
6200,0.9999999999996986,-2088.2603468,2089.2603468
6400,0.9999999999996986,-2088.2603468,2089.2603468
6600,0.9999999999996986,-2088.2603468,2089.2603468
6800,0.9999999999996986,-2088.6368636,2089.6368635999997
7000,0.9999999999996986,-2088.6368636,2089.6368635999997
7200,0.9999999999996986,-2088.6368636,2089.6368635999997
7400,0.9999999999996986,-2088.2603468,2089.2603468
7600,0.9999999999996986,-2088.6368636,2089.6368635999997
7800,0.9999999999996986,-2088.2603468,2089.2603468
8000,0.9999999999996986,-2088.6368636,2089.6368635999997
8200,0.9999999999996986,-2088.6368636,2089.6368635999997
8400,0.9999999999996986,-2088.6368636,2089.6368635999997
8600,0.9999999999996986,-2088.6368636,2089.6368635999997
8800,0.9999999999996986,-2088.6368636,2089.6368635999997
9000,0.9999999999996986,-2088.6368636,2089.6368635999997
9200,0.9999999999996986,-2088.6368636,2089.6368635999997
9400,0.9999999999996986,-2088.6368636,2089.6368635999997
9600,0.9999999999996986,-2088.6368636,2089.6368635999997
9800,0.9999999999996986,-2088.6368636,2089.6368635999997
10000,0.9999999999996986,-2088.2603468,2089.2603468
