íPâø,îÃîÑå¬êî
0.1,20897
0.2,10451
0.30000000000000004,6967
0.4,5226
0.5,4181
0.6,3483
0.7,2986
0.7999999999999999,2616
0.8999999999999999,2325
0.9999999999999999,2093
1.0999999999999999,1902
1.2,1742
1.3,1608
1.4000000000000001,1493
1.5000000000000002,1394
1.6000000000000003,1307
1.7000000000000004,1230
1.8000000000000005,1162
1.9000000000000006,1101
2.0000000000000004,1045
2.1000000000000005,996
2.2000000000000006,951
2.3000000000000007,909
2.400000000000001,871
2.500000000000001,836
2.600000000000001,804
2.700000000000001,775
2.800000000000001,747
2.9000000000000012,721
3.0000000000000013,697
3.1000000000000014,675
3.2000000000000015,654
3.3000000000000016,634
3.4000000000000017,615
3.5000000000000018,598
3.600000000000002,581
3.700000000000002,565
3.800000000000002,551
3.900000000000002,536
4.000000000000002,523
4.100000000000001,510
4.200000000000001,498
4.300000000000001,487
4.4,476
4.5,465
4.6,455
4.699999999999999,445
4.799999999999999,436
4.899999999999999,427
4.999999999999998,419
