unit price (yen), expected earnings, actual earning, tx fee, expected earnings (yen), actual earning (yen), tx fee (yen)
0, 1799519168478, -87273480831522, 89073000000000, 0.4999999999999492, -24.24911119600005, 24.749111196
0.5, 1799519168478, -87273480831522, 89073000000000, 0.4999999999999492, -24.24911119600005, 24.749111196
1, 1799519168478, -87273480831522, 89073000000000, 0.4999999999999492, -24.24911119600005, 24.749111196
1.5, 1799519168478, -87285480831522, 89085000000000, 0.4999999999999492, -24.25244542000005, 24.75244542
2, 1799519168478, -87285480831522, 89085000000000, 0.4999999999999492, -24.25244542000005, 24.75244542
2.5, 1799519168478, -87285480831522, 89085000000000, 0.4999999999999492, -24.25244542000005, 24.75244542
3, 1799519168478, -87285480831522, 89085000000000, 0.4999999999999492, -24.25244542000005, 24.75244542
3.5, 1799519168478, -87285480831522, 89085000000000, 0.4999999999999492, -24.25244542000005, 24.75244542
4, 1799519168478, -87285480831522, 89085000000000, 0.4999999999999492, -24.25244542000005, 24.75244542
4.5, 1799519168478, -87285480831522, 89085000000000, 0.4999999999999492, -24.25244542000005, 24.75244542
5, 1799519168478, -87273480831522, 89073000000000, 0.4999999999999492, -24.24911119600005, 24.749111196
5.5, 1799519168478, -87285480831522, 89085000000000, 0.4999999999999492, -24.25244542000005, 24.75244542
6, 1799519168478, -87285480831522, 89085000000000, 0.4999999999999492, -24.25244542000005, 24.75244542
6.5, 1799519168478, -87285480831522, 89085000000000, 0.4999999999999492, -24.25244542000005, 24.75244542
7, 1799519168478, -87273480831522, 89073000000000, 0.4999999999999492, -24.24911119600005, 24.749111196
7.5, 1799519168478, -87285480831522, 89085000000000, 0.4999999999999492, -24.25244542000005, 24.75244542
8, 1799519168478, -87285480831522, 89085000000000, 0.4999999999999492, -24.25244542000005, 24.75244542
8.5, 1799519168478, -87273480831522, 89073000000000, 0.4999999999999492, -24.24911119600005, 24.749111196
9, 1799519168478, -87273480831522, 89073000000000, 0.4999999999999492, -24.24911119600005, 24.749111196
9.5, 1799519168478, -87285480831522, 89085000000000, 0.4999999999999492, -24.25244542000005, 24.75244542
10, 1799519168478, -87285480831522, 89085000000000, 0.4999999999999492, -24.25244542000005, 24.75244542
10.5, 1799519168478, -87285480831522, 89085000000000, 0.4999999999999492, -24.25244542000005, 24.75244542
11, 1799519168478, -87285480831522, 89085000000000, 0.4999999999999492, -24.25244542000005, 24.75244542
11.5, 1799519168478, -87285480831522, 89085000000000, 0.4999999999999492, -24.25244542000005, 24.75244542
12, 1799519168478, -87285480831522, 89085000000000, 0.4999999999999492, -24.25244542000005, 24.75244542
12.5, 1799519168478, -87285480831522, 89085000000000, 0.4999999999999492, -24.25244542000005, 24.75244542
13, 1799519168478, -87273480831522, 89073000000000, 0.4999999999999492, -24.24911119600005, 24.749111196
13.5, 1799519168478, -87273480831522, 89073000000000, 0.4999999999999492, -24.24911119600005, 24.749111196
14, 1799519168478, -87285480831522, 89085000000000, 0.4999999999999492, -24.25244542000005, 24.75244542
14.5, 1799519168478, -87285480831522, 89085000000000, 0.4999999999999492, -24.25244542000005, 24.75244542
15, 1799519168478, -87273480831522, 89073000000000, 0.4999999999999492, -24.24911119600005, 24.749111196
15.5, 1799519168478, -87285480831522, 89085000000000, 0.4999999999999492, -24.25244542000005, 24.75244542
16, 1799519168478, -87285480831522, 89085000000000, 0.4999999999999492, -24.25244542000005, 24.75244542
16.5, 1799519168478, -87273480831522, 89073000000000, 0.4999999999999492, -24.24911119600005, 24.749111196
17, 1799519168478, -87273480831522, 89073000000000, 0.4999999999999492, -24.24911119600005, 24.749111196
17.5, 1799519168478, -87285480831522, 89085000000000, 0.4999999999999492, -24.25244542000005, 24.75244542
18, 1799519168478, -87285480831522, 89085000000000, 0.4999999999999492, -24.25244542000005, 24.75244542
18.5, 1799519168478, -87285480831522, 89085000000000, 0.4999999999999492, -24.25244542000005, 24.75244542
19, 1799519168478, -87285480831522, 89085000000000, 0.4999999999999492, -24.25244542000005, 24.75244542
19.5, 1799519168478, -87285480831522, 89085000000000, 0.4999999999999492, -24.25244542000005, 24.75244542
20, 1799519168478, -87285480831522, 89085000000000, 0.4999999999999492, -24.25244542000005, 24.75244542
20.5, 1799519168478, -87285480831522, 89085000000000, 0.4999999999999492, -24.25244542000005, 24.75244542
21, 1799519168478, -87273480831522, 89073000000000, 0.4999999999999492, -24.24911119600005, 24.749111196
21.5, 1799519168478, -87273480831522, 89073000000000, 0.4999999999999492, -24.24911119600005, 24.749111196
22, 1799519168478, -87273480831522, 89073000000000, 0.4999999999999492, -24.24911119600005, 24.749111196
22.5, 1799519168478, -87285480831522, 89085000000000, 0.4999999999999492, -24.25244542000005, 24.75244542
23, 1799519168478, -87285480831522, 89085000000000, 0.4999999999999492, -24.25244542000005, 24.75244542
23.5, 1799519168478, -87273480831522, 89073000000000, 0.4999999999999492, -24.24911119600005, 24.749111196
24, 1799519168478, -87285480831522, 89085000000000, 0.4999999999999492, -24.25244542000005, 24.75244542
24.5, 1799519168478, -87285480831522, 89085000000000, 0.4999999999999492, -24.25244542000005, 24.75244542
25, 1799519168478, -87285480831522, 89085000000000, 0.4999999999999492, -24.25244542000005, 24.75244542
25.5, 1799519168478, -87285480831522, 89085000000000, 0.4999999999999492, -24.25244542000005, 24.75244542
26, 1799519168478, -87285480831522, 89085000000000, 0.4999999999999492, -24.25244542000005, 24.75244542
26.5, 1799519168478, -87285480831522, 89085000000000, 0.4999999999999492, -24.25244542000005, 24.75244542
